id_marca,marca_canonica,alias,instagram,sitio_web,estado
75,Crezia Pilates & Yoga,Crezia Pilates & Yoga,,,activa
76,Cuerpo Saludable Pilates,Cuerpo Saludable Pilates,,,activa
77,Cuerpo En Alba Pilates,Cuerpo en alba Pilates,,,activa
78,Cuerpoespiral - Pilates Personalizado,CuerpoEspiral - Pilates Personalizado,,,activa
79,Cuore Pilates,Cuore pilates,,,activa
80,Ddb Pilates,DDB pilates,,,activa
81,Dv-Estudio // Mariela Ruggeri,DV-Estudio // Mariela Ruggeri,,,activa
82,Danez Pilates & Funcional,Danez Pilates & Funcional,,,activa
83,Danez Pilates & Funciónal,Danez Pilates & Funciónal,,,activa
84,Dash Pilates & Yoga,Dash Pilates & Yoga,,,activa
85,Desde Laura,Desde Laura,,,activa
86,Desirée Centro De Estetica Y Pilates,Desirée Centro de Estetica y Pilates,,,activa
87,Dhara Pilates,Dhara Pilates,,,activa
88,Equm,EQUM,,,activa
89,Equmm Gimnasias & Pilates,EQUMM Gimnasias & Pilates,,,activa
90,Espacio Luz Pilates Clasico,ESPACIO LUZ PILATES CLASICO,,,activa
91,El Atelier Pilates,El Atelier Pilates,,,activa
92,El Estudio,El Estudio,,,activa
93,El Loft San Telmo - Pilates Y Estética,El Loft San Telmo - Pilates y Estética,,,activa
94,Energía Vital,Energía Vital,,,activa
95,Entre Ríos Pilates,Entre Ríos Pilates,,,activa
96,Epiler Recoleta,Epiler Recoleta,,,activa
97,Erevan Pilates,Erevan Pilates,,,activa
98,Espacio Activa Primera Junta,Espacio Activa Primera Junta,,,activa
99,Espacio Balance,Espacio Balance,,,activa
100,Espacio Caracol Pilates,Espacio Caracol Pilates,,,activa
101,Espacio Compromiso Bienestar,Espacio Compromiso Bienestar,,,activa
102,Espacio Gud Pilates,Espacio GUD Pilates,,,activa
103,Espacio Haya,Espacio Haya,,,activa
104,Espacio Infinito Yoga Y Pilates,Espacio Infinito Yoga y Pilates,,,activa
105,Espacio Mat - Clases Online De Pilates - Elongación - Yoga,Espacio Mat - CLASES ONLINE de Pilates - Elongación - Yoga,,,activa
106,Espacio Raíz Pilates Y Yoga,Espacio Raíz Pilates y Yoga,,,activa
107,Espacio Transformar,Espacio TransforMar,,,activa
108,Espacio Fit,Espacio fit,,,activa
109,Espiral Pilates,Espiral Pilates,,,activa
110,Espiralado,Espiralado,,,activa
111,Estetica Glow,Estetica Glow,,,activa
112,Estilo Devoto Pilates,Estilo Devoto Pilates,,,activa
113,Estudio Core Ba Pilates,Estudio Core BA Pilates,,,activa
114,Estudio Corporeum,Estudio Corporeum,,,activa
115,Estudio Hara,Estudio Hara,,,activa
116,Estudio Naapura,Estudio Naapura,,,activa
117,Estudio Pilates Zen,Estudio Pilates Zen,,,activa
118,Estudio Taoyqi,Estudio Taoyqi,,,activa
119,Estudio De Pilates Diem,Estudio de Pilates Diem,,,activa
120,Estudio Del Sur Pilates,Estudio del Sur Pilates,,,activa
121,Etnya Pilates,Etnya Pilates,,,activa
122,Etnya Pilates Craig,Etnya Pilates Craig,,,activa
123,Etéreo Pilates,Etéreo Pilates,,,activa
124,Eutónico Pilates,Eutónico Pilates,,,activa
125,F&S Pilates Studio,F&S pilates STUDIO,,,activa
126,Fabiana Tallarico,Fabiana Tallarico,,,activa
127,Feel Good,Feel Good,,,activa
128,Fit Studio Pilates,Fit Studio Pilates,,,activa
129,Flow Pilates Estudio,Flow Pilates Estudio,,,activa
130,Fluxus Pilates,Fluxus Pilates,,,activa
131,Full Pilates Castro,Full Pilates Castro,,,activa
132,Full Pilates Muñiz,Full Pilates Muñiz,,,activa
133,Fullfit,Fullfit,,,activa
134,Fusión Pilates Palermo,Fusión Pilates Palermo,,,activa
135,Fémina Estudio,Fémina Estudio,,,activa
136,G Pilates Studio,G Pilates Studio,,,activa
137,Gd Pilates & Elongacion By Marce Vaisberg,GD Pilates & Elongacion by Marce Vaisberg,,,activa
138,Gs Bienestar Corporal,GS Bienestar Corporal,,,activa
139,Gabyota Pilates,Gabyota PILATES,,,activa
140,Ganesha Pilates,Ganesha pilates,,,activa
141,Genkiro Studio Recoleta,Genkiro Studio Recoleta,,,activa
142,Gimnasia Postural Global Daniela Pérsico,Gimnasia Postural Global Daniela Pérsico,,,activa
143,Gimnasio Plaza Lou,Gimnasio Plaza Lou,,,activa
144,Glow Pilates Studio,Glow Pilates Studio,,,activa
145,Go Fit Pilates Recoleta,Go Fit Pilates Recoleta,,,activa
146,Gran Cóndor Fitness,Gran Cóndor Fitness,,,activa
147,Ha! Pilates Y Bienestar,HA! Pilates y Bienestar,,,activa
148,"Haus, Casa De Pilates","HAUS, Casa de Pilates",,,activa
149,"Haus, Casa De Pilates®","HAUS, Casa de Pilates®",,,activa
150,Health Studio Ar,HEALTH STUDIO Ar,,,activa
151,Hawa Fitness Pilates Studio,Hawa Fitness Pilates Studio,,,activa
152,Hema Pilates,Hema Pilates,,,activa
153,Holística Yoga & Pilates,Holística Yoga & Pilates,,,activa
154,Hono Studio,Hono Studio,,,activa
155,Humanu Pilates,Humanu Pilates,,,activa
156,Ikal,Ikal,,,activa
157,Iluminar Pilates&Bienestar,Iluminar Pilates&Bienestar,,,activa
158,Imperio Pilates Chacarita,Imperio Pilates Chacarita,,,activa
159,Imperio Pilates Studio,Imperio Pilates Studio,,,activa
160,Inspiración Pilates Villa Devoto,Inspiración Pilates Villa Devoto,,,activa
161,Integral Pilates,Integral Pilates,,,activa
162,Joa Estudio De Pilates,JOA estudio de pilates,,,activa
